Iteracja: 0 | x1: 1 | x2: 1
Iteracja: 347 | x1: 0.696344 | x2: 0.781731
Iteracja: 348 | x1: 0.695492 | x2: 0.781255
Iteracja: 349 | x1: 0.694641 | x2: 0.78078
Iteracja: 350 | x1: 0.693791 | x2: 0.780307
Iteracja: 351 | x1: 0.692941 | x2: 0.779835
Iteracja: 352 | x1: 0.692091 | x2: 0.779364
Iteracja: 353 | x1: 0.691243 | x2: 0.778895
Iteracja: 354 | x1: 0.690395 | x2: 0.778427
Iteracja: 355 | x1: 0.689547 | x2: 0.77796
Iteracja: 356 | x1: 0.6887 | x2: 0.777495
Iteracja: 357 | x1: 0.687854 | x2: 0.777031
Iteracja: 358 | x1: 0.687009 | x2: 0.776569
Iteracja: 359 | x1: 0.686164 | x2: 0.776108
Iteracja: 360 | x1: 0.68532 | x2: 0.775648
Iteracja: 361 | x1: 0.684476 | x2: 0.775189
Iteracja: 362 | x1: 0.683633 | x2: 0.774732
Iteracja: 363 | x1: 0.682791 | x2: 0.774277
Iteracja: 364 | x1: 0.681949 | x2: 0.773822
Iteracja: 365 | x1: 0.681108 | x2: 0.77337
Iteracja: 366 | x1: 0.680268 | x2: 0.772918
Iteracja: 367 | x1: 0.679428 | x2: 0.772468
Iteracja: 368 | x1: 0.678589 | x2: 0.772019
Iteracja: 369 | x1: 0.677751 | x2: 0.771572
Iteracja: 370 | x1: 0.676914 | x2: 0.771126
Iteracja: 371 | x1: 0.676077 | x2: 0.770681
Iteracja: 372 | x1: 0.67524 | x2: 0.770238
Iteracja: 373 | x1: 0.674405 | x2: 0.769796
Iteracja: 374 | x1: 0.67357 | x2: 0.769356
Iteracja: 375 | x1: 0.672736 | x2: 0.768917
Iteracja: 376 | x1: 0.671902 | x2: 0.768479
Iteracja: 377 | x1: 0.67107 | x2: 0.768043
Iteracja: 378 | x1: 0.670237 | x2: 0.767608
Iteracja: 379 | x1: 0.669406 | x2: 0.767174
Iteracja: 380 | x1: 0.668575 | x2: 0.766742
Iteracja: 381 | x1: 0.667745 | x2: 0.766311
Iteracja: 382 | x1: 0.666916 | x2: 0.765882
Iteracja: 383 | x1: 0.666087 | x2: 0.765454
Iteracja: 384 | x1: 0.665259 | x2: 0.765027
Iteracja: 385 | x1: 0.664432 | x2: 0.764602
Iteracja: 386 | x1: 0.663606 | x2: 0.764178
Iteracja: 387 | x1: 0.66278 | x2: 0.763756
Iteracja: 388 | x1: 0.661955 | x2: 0.763335
Iteracja: 389 | x1: 0.661131 | x2: 0.762915
Iteracja: 390 | x1: 0.660307 | x2: 0.762497
Iteracja: 391 | x1: 0.659484 | x2: 0.76208
Iteracja: 392 | x1: 0.658662 | x2: 0.761665
Iteracja: 393 | x1: 0.657841 | x2: 0.761251
Iteracja: 394 | x1: 0.65702 | x2: 0.760838
Iteracja: 395 | x1: 0.6562 | x2: 0.760427
Iteracja: 396 | x1: 0.655381 | x2: 0.760017
Iteracja: 397 | x1: 0.654562 | x2: 0.759609
Iteracja: 398 | x1: 0.653745 | x2: 0.759202
Iteracja: 399 | x1: 0.652928 | x2: 0.758796
Iteracja: 400 | x1: 0.652111 | x2: 0.758392
Iteracja: 401 | x1: 0.651296 | x2: 0.757989
Iteracja: 402 | x1: 0.650481 | x2: 0.757588
Iteracja: 403 | x1: 0.649667 | x2: 0.757187
Iteracja: 404 | x1: 0.648854 | x2: 0.756789
Iteracja: 405 | x1: 0.648041 | x2: 0.756392
Iteracja: 406 | x1: 0.647229 | x2: 0.755996
Iteracja: 407 | x1: 0.646418 | x2: 0.755601
Iteracja: 408 | x1: 0.645608 | x2: 0.755208
Iteracja: 409 | x1: 0.644799 | x2: 0.754816
Iteracja: 410 | x1: 0.64399 | x2: 0.754426
Iteracja: 411 | x1: 0.643182 | x2: 0.754037
Iteracja: 412 | x1: 0.642375 | x2: 0.75365
Iteracja: 413 | x1: 0.641568 | x2: 0.753264
Iteracja: 414 | x1: 0.640762 | x2: 0.752879
Iteracja: 415 | x1: 0.639957 | x2: 0.752496
Iteracja: 416 | x1: 0.639153 | x2: 0.752114
Iteracja: 417 | x1: 0.63835 | x2: 0.751733
Iteracja: 418 | x1: 0.637547 | x2: 0.751354
Iteracja: 419 | x1: 0.636745 | x2: 0.750976
Iteracja: 420 | x1: 0.635944 | x2: 0.7506
